"content_id","route_id","route_path","content_kind","source_file","source_sha256","source_bytes","source_text_sha256","destination_module","destination_sha256","sections","blocks","headings","links","unresolved_links","assets","alt_review_assets","schema_records","interactions_disabled","content_status","claims_status"
"content-home","route-home","/","core","index.html","b59036cd0c4ae0cc839df9b55f14f2d6c60640af614661f5aac0782b5a3fdbc4","44886","cf957cdf00be41902e230372b2a604d85891d08d49b23f3ef4249e2aaa3ac0ef","web/src/content/migrated/generated/company/home.ts","1d6fc655c157d275a346d7047dd71e98680459e0c0ea5ccce7baf1c27d75e406","5","69","16","1","0","0","0","1","0","rewrite","evidence-pending"
"content-about","route-about","/about","core","about.html","ba0168f4dcc465658e4794f9b850f1909f925e5c31f2fcfa4994f59c9226b73c","23293","515294a589943de1f6a5e16b7f8e45e50a4c7eb94135a15e13efe7ef12ae90ab","web/src/content/migrated/generated/company/about.ts","04272deee980ee6bf7b53625bc4c1da199c84766735126bfc5ad8a86ded78a01","3","26","10","0","0","3","0","1","0","retain","review-pending"
"content-services","route-services","/services","service","services.html","f4646fce7cb1c86a25bafd9754ba8fddac5ed5b274a44ee870dbcd578f38f4e8","53056","e7ed2f28031cb2a64fbb628425a9738cb39ae812fe648af674762f1dddbde373","web/src/content/migrated/generated/services/services.ts","1f2f73d1d2d2835918c648d650f58fd1eec9a3b595af2f681ee0030fed03701f","13","81","26","34","0","0","0","1","0","refactor","review-pending"
"content-pricing","route-pricing","/pricing","conversion","pricing.html","2b4fc54fbbedfcbed806ee949ae9d2779ce393d5a9831b0880f93cf6248f8817","23216","cf52413bd866e931cf291834f690ade10269d9ef30b9481c5123fdb7fb4085ae","web/src/content/migrated/generated/conversion/pricing.ts","99e2e355b28107b8664efaac19e4f8ba1b0a68a583759d57c665ebe5fe690923","4","15","4","0","0","0","0","2","0","refactor","review-pending"
"content-blog","route-blog","/blog","core","blog.html","77477e3ee9a94e1e31d182c131767fb5e5b6cba856356e583388f88068835de6","104096","7a981e1a15684a43fdd50b751d27f9bc8d1214d04720ed117abcbb2a5bd0f218","web/src/content/migrated/generated/blog/blog.ts","4678b4b91cd6775871ff0f67828a98fb2704e74cde10af091b459a4a42f65471","3","152","37","0","0","0","0","1","0","refactor","review-pending"
"content-book","route-book","/book","conversion","book.html","e48e733010eb0bd3f98274109d088a89d276f172490de43859112e26b10e698c","15444","f11e36492dd69f4875400585977610b97cf3675c1f9f5dbba8accc80ad0d6b29","web/src/content/migrated/generated/conversion/book.ts","85f9692fb53f4df2617188ba7f5c49d0b3c4547056bd643626ebbfe33a431373","3","12","3","1","0","0","0","1","1","retain","review-pending"
"content-contact","route-contact","/contact","conversion","contact.html","b5601f504d8087d1f36c75e3fd68a991c6b895f35705bdc9b588a5a57d9b70a0","15458","41c3d99a94e932abc9cb245623fb8b81bd9ad5d1621ba030ee86e41de8fa03ff","web/src/content/migrated/generated/conversion/contact.ts","372cbfa2cf6336e4ce40645e80b0fd2caff255a85ce1ce72644b9d40fbb09ac7","2","12","3","1","0","0","0","1","2","retain","review-pending"
"content-privacy-policy","route-privacy-policy","/privacy-policy","legal","privacy-policy.html","73c15b54df9aab3c975dcdb3ba2724fe238f2ed85244b5ab3e4af919b7adc41f","14368","577d8d7c96f23dfe46e8f3de6c03a527a2d7e0b4bc8fd1dfd96420e8985b9639","web/src/content/migrated/generated/legal/privacy-policy.ts","2863e021634b1d44b0c50b830eb27bb77d3b7ccceeae7393f4bc71fcfb396d0c","2","19","8","1","0","0","0","0","0","refactor","review-pending"
"content-services-dentists","route-services-dentists","/services/dentists","industry","services/dentists.html","50f1b0eeb8fee0791efb6fc6f241719e8203df4b1fec5a719e90e663b3db6254","35264","f59518008de285442e240dfe627f0f4c7724f382be58b368c2df0897e4742197","web/src/content/migrated/generated/industries/dentists.ts","f5d49062b4e78627133f8f10216343c68170e7cfbd929cffabcc6a32a3177add","9","57","20","0","0","0","0","2","0","rewrite","evidence-pending"
"content-services-ecommerce","route-services-ecommerce","/services/ecommerce","industry","services/ecommerce.html","2ea365fe126588fef82d3d66196a14d0a99e0ac551375bb63ef48d072c6c4611","35470","5380dfe0ff2b8f8cf501e2d54be45c433188116705a3ccd3f1d1f4527f90c97a","web/src/content/migrated/generated/industries/ecommerce.ts","f9cae2534af2aa1dd4b48df3fc9f2449d06748c632ad46b8c8fd0577a5536510","9","57","20","0","0","0","0","2","0","rewrite","evidence-pending"
"content-services-estate-agents","route-services-estate-agents","/services/estate-agents","industry","services/estate-agents.html","095cdbaa97f5aefb87742db0af4fdbbb8a713e58aed78a3185caa2755053398b","35316","7104e9a4c454d40dba9c07d4996a28120af25ac975dd786ab0e146d499806b7a","web/src/content/migrated/generated/industries/estate-agents.ts","a83eaf5bc8edad6760307d85abdf8bae6c42b6e351ac0f71fcb353c2140a2cb5","9","57","20","0","0","0","0","2","0","rewrite","evidence-pending"
"content-services-fitness-coaches","route-services-fitness-coaches","/services/fitness-coaches","industry","services/fitness-coaches.html","39494c6baa86ec101ea27a80863bb5a39d26da90f842532c27d27ec702ee0281","35502","578624a0f86580a6a9b613d4abf9ab4e052f6e196cf17abe0fd2a26820cbced0","web/src/content/migrated/generated/industries/fitness-coaches.ts","1a16d7a40e84b30b497502e97c2f3575c79ec88c50d79f13842f479175ba72e8","9","57","20","0","0","0","0","2","0","rewrite","evidence-pending"
"content-services-gyms-fitness-studios","route-services-gyms-fitness-studios","/services/gyms-fitness-studios","industry","services/gyms-fitness-studios.html","f92ff3fbe43b1ba1aaf21728a1686b2bcafe1ce0605fd0fa231f6a274ace666a","35209","f9a994a1c32b0ddd08eaa2e58ad44ed34e7bbab49ac504ee0cb9a76194a3f8f8","web/src/content/migrated/generated/industries/gyms-fitness-studios.ts","e7f0b0f0e522aa814ac692e71c80852ec8b412d615c86cff130f0fa0528933d2","9","57","20","0","0","0","0","2","0","rewrite","evidence-pending"
"content-services-hospitality","route-services-hospitality","/services/hospitality","industry","services/hospitality.html","ec4424cb3b5fdf18e96e93ace6a255265b04570955aa4e0e34f59087a04294b4","36630","122f5a744dbf0f502d637161ea710d252587fad41b3ed2ea9333c878ed6acae9","web/src/content/migrated/generated/industries/hospitality.ts","b989ff68233e8ef4ac91b4eeff172bca8f7aa42f4b613d355823b7e5b4a888be","9","57","20","0","0","0","0","2","0","rewrite","evidence-pending"
"content-services-physios-chiropractors","route-services-physios-chiropractors","/services/physios-chiropractors","industry","services/physios-chiropractors.html","001d65f146d7478f75d9bd75bccabc51464a6cf297a352430063a39d3fdbe3d8","35600","aebf10d44108ba7e8d2f082bc839d004ab7059f8d3d1349a9a7d8900bb776217","web/src/content/migrated/generated/industries/physios-chiropractors.ts","e0dbfa2e6c4f42377e35d3f63c22ad75278fc2bd457eaff3469ae63a91af0bfd","9","57","20","0","0","0","0","2","0","rewrite","evidence-pending"
"content-services-salons-barbers","route-services-salons-barbers","/services/salons-barbers","industry","services/salons-barbers.html","1a37487bff97fe7a562d91f454fc0792c624d5cc29cb0662690d3ca37bd3043f","35484","dbcfc7cb27d237ae2b7b1a563cbeeab58a4ce7d8b7705783399c75ba1947ef97","web/src/content/migrated/generated/industries/salons-barbers.ts","a56f381fcea6540f08c3002191493a17de721fd867956a496889a98a0637a04c","9","57","20","0","0","0","0","2","0","rewrite","evidence-pending"
"content-services-trades","route-services-trades","/services/trades","industry","services/trades.html","5a60c29493732cae605fbe64228311f5da6e73ce60540218fffc57914f926abc","35164","b24442849442ae6e888be98f593139842d4b580564c1f55c2b24d728248304cb","web/src/content/migrated/generated/industries/trades.ts","738629adb08a5e92bdc3cb9747d4f46551952860e77c1d1203f209d04c8722b7","9","58","20","0","0","0","0","2","0","rewrite","evidence-pending"
"content-blog-ai-appointment-reminders-uk-2026","route-blog-ai-appointment-reminders-uk-2026","/blog/ai-appointment-reminders-uk-2026","article","blog/ai-appointment-reminders-uk-2026.html","99e74f05fa70c32a9cb6d55dd179c947f481bf997d2e3dd22647f07b51febabd","24503","54283633c2d4b757159c49c17bfb51dbd237c8da9d8b654dffcc310587d4a398","web/src/content/migrated/generated/blog/ai-appointment-reminders-uk-2026.ts","9af12c16891fa650c9c62bdaada08030be308b9856c12111b183ff46a7079d37","4","43","11","11","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-automation-failures-uk-smes-2026","route-blog-ai-automation-failures-uk-smes-2026","/blog/ai-automation-failures-uk-smes-2026","article","blog/ai-automation-failures-uk-smes-2026.html","d34924bcfb1ee75cc02363c76456353336e963c20e8f8ab8ac77c72aeca0c6ed","24962","5e63ddec0317431b4503503a05877585fbf8b7cb5d7a0f545e0a7087984e66ad","web/src/content/migrated/generated/blog/ai-automation-failures-uk-smes-2026.ts","4f6ea8a912dd31dec53389c0ba445a7ac0662ab2446821c995171362ed132e4e","4","35","7","9","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-automation-uk-gdpr-2026-sme-guide","route-blog-ai-automation-uk-gdpr-2026-sme-guide","/blog/ai-automation-uk-gdpr-2026-sme-guide","article","blog/ai-automation-uk-gdpr-2026-sme-guide.html","4e9b0804dcd182ef5003b26eac934ffd5a8ed2702f144947f4a807df49fe83b8","27823","2cf28a0ea62578401f7fe693e6762d3bde59067383346399a4c4bff71a8e1dab","web/src/content/migrated/generated/blog/ai-automation-uk-gdpr-2026-sme-guide.ts","8df8cce36290fb9bee051cd4717e1ba3b998e48669157b6fc30c5f13e9c249ea","4","40","9","11","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-automations-physio-chiro-clinics-uk","route-blog-ai-automations-physio-chiro-clinics-uk","/blog/ai-automations-physio-chiro-clinics-uk","article","blog/ai-automations-physio-chiro-clinics-uk.html","66eadacb1774d7d854d29a944a33c55a7acf93d2888a867a6ea618db1e45c8ed","29808","0bff9181680e7ee9fd4544e9de0201f29ae208f2a17b5c2cc006f0219f687f17","web/src/content/migrated/generated/blog/ai-automations-physio-chiro-clinics-uk.ts","880e7ff4ab794c0348e5a804cb7b72640e18e4be518476e30a18a075d5c77c23","4","59","29","22","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-booking-automation-uk-hospitality-2026","route-blog-ai-booking-automation-uk-hospitality-2026","/blog/ai-booking-automation-uk-hospitality-2026","article","blog/ai-booking-automation-uk-hospitality-2026.html","ae124c89e83f8e7bd003e55c16a729afeabb58fb5fc43e3c95bdaaa0c9b042e0","25422","73d8b484db8d8f61cb3aaea582b658d1548406e35ba6b4c4e77e877e636832de","web/src/content/migrated/generated/blog/ai-booking-automation-uk-hospitality-2026.ts","566e5c0f01f7865e0afd60742cbd8d24b6227d7382bd6fcc2faa758e38071b67","4","38","9","6","0","1","1","2","0","rewrite","evidence-pending"
"content-blog-ai-call-answering-trades-uk","route-blog-ai-call-answering-trades-uk","/blog/ai-call-answering-trades-uk","article","blog/ai-call-answering-trades-uk.html","7e5a5edb38fe705d944e58780aa901d9a29670af875350409e0aae5ebae39a6b","30178","f8276a5d2cd02dafbc03bcddbe5159cf8d3734206435e689156025598fb532ec","web/src/content/migrated/generated/blog/ai-call-answering-trades-uk.ts","f364a19141956a042ffd3c9fbd44dc1862c3880641bfe7eb4c4672e6c3d5f7e9","4","57","14","22","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-document-automation-uk-smes-2026","route-blog-ai-document-automation-uk-smes-2026","/blog/ai-document-automation-uk-smes-2026","article","blog/ai-document-automation-uk-smes-2026.html","4a2eb6e98db45f370432734f53f463c832c4514533870d0bbac7255d814e3669","25282","4f55cdc75552c81024002846c6142dd6f53ee7f8e6dfc3004fb52f93c1dec15a","web/src/content/migrated/generated/blog/ai-document-automation-uk-smes-2026.ts","04bb0ef3439df4b52d6b44fb1d20f5e7fb22ba5cf9eb5d9582d79cd85d098058","4","31","7","11","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-etas-smart-scheduling-uk-trades-2026","route-blog-ai-etas-smart-scheduling-uk-trades-2026","/blog/ai-etas-smart-scheduling-uk-trades-2026","article","blog/ai-etas-smart-scheduling-uk-trades-2026.html","c05d9c4757bc75e2bdca6727abf25d44f542395fead21b4e7c5de2f1300072fd","28737","e938eced216ff69b62acaf02a5f07897eae48095b41c179904fd99531901813b","web/src/content/migrated/generated/blog/ai-etas-smart-scheduling-uk-trades-2026.ts","381a5d14b0da67a9d90078ba43b8bc6f490c5b875e5b9d52db800397ff49ae70","4","43","11","22","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-guest-concierge-hotels-bbs-uk","route-blog-ai-guest-concierge-hotels-bbs-uk","/blog/ai-guest-concierge-hotels-bbs-uk","article","blog/ai-guest-concierge-hotels-bbs-uk.html","3a5085e3609413cee58f1ef579ee8483f6ebb687f5eacec473b2512de0807880","31267","725b6b2cdc5b10ef0bd2a49b93d31587d6df60ad8a0ddd85e050379fc97ea0eb","web/src/content/migrated/generated/blog/ai-guest-concierge-hotels-bbs-uk.ts","4235d232e3891900b0a59324246624640c51a8afc5bfe008418cdd3d7eb9a3dd","4","49","21","15","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-lead-capture-uk-trades-2026","route-blog-ai-lead-capture-uk-trades-2026","/blog/ai-lead-capture-uk-trades-2026","article","blog/ai-lead-capture-uk-trades-2026.html","53b859e28ba6e421e5579ccb2c0fbe714cd46f5b48c35978b1204f30ec8ab7a2","26228","15860a7b53482064515ea1cd4b5d7590f30d12a9133de26a3eed3725ce1001f0","web/src/content/migrated/generated/blog/ai-lead-capture-uk-trades-2026.ts","80ca22f094f0191146c83f8bccdfce6c645bec144d0d243446fd4cdcd7cf7948","4","38","9","12","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-lead-qualification-estate-agents-2026","route-blog-ai-lead-qualification-estate-agents-2026","/blog/ai-lead-qualification-estate-agents-2026","article","blog/ai-lead-qualification-estate-agents-2026.html","24369fdee26409a6bec2f61b641ff517756c0bb5eba4f10c4b955a095732e599","26165","0e98b739555a2524de9176f6e19ddeabe5ca55f08128ccd6833cb4e5b58d073a","web/src/content/migrated/generated/blog/ai-lead-qualification-estate-agents-2026.ts","1511e8fa1a568024ba0b8eed9093d8c4d977e69b4fa56824dfe10da080f5ca97","4","35","8","7","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-lead-scoring-fitness-coaches-uk","route-blog-ai-lead-scoring-fitness-coaches-uk","/blog/ai-lead-scoring-fitness-coaches-uk","article","blog/ai-lead-scoring-fitness-coaches-uk.html","a23945267275645deefa3661c33014bc5327e0dc864fd51712269242ce001496","29163","2ab6a3d2316f6ceefef8d0978ad0712bc8b379514e3f77aec32698f84a13feb9","web/src/content/migrated/generated/blog/ai-lead-scoring-fitness-coaches-uk.ts","919141fc5fdfaa92d98ffaf5cb48f1341fa5473e091aecf7aa47ce22e2261c5a","4","52","13","20","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-missed-call-recovery-dentists-uk","route-blog-ai-missed-call-recovery-dentists-uk","/blog/ai-missed-call-recovery-dentists-uk","article","blog/ai-missed-call-recovery-dentists-uk.html","fe1ac7f84439ff17a2a2bf1a2228dba77fe8ee4f352593fb5b7a53c0cefe1ba2","30298","c872137885df285608cde8f415e721d8ca28561c13ddd272fd33eaa39e160acc","web/src/content/migrated/generated/blog/ai-missed-call-recovery-dentists-uk.ts","c766896c4502d08c8634afc38140664551260a5dfb4ea5aab25306cf91639b94","4","54","14","20","0","1","1","2","0","refactor","review-pending"
