selector,property,states_compared,states_changed,before,after
chromeText,color,4,4,"rgba(0, 0, 0, 0)","rgb(245, 247, 251)"
signalText,color,4,4,"rgba(0, 0, 0, 0)","rgb(34, 211, 238)"
introTitle,tag,12,12,"H1","DIV"
srv2HeroEm,color,24,24,"rgba(0, 0, 0, 0)","rgb(89, 166, 230)"
srv2HeroEm,color,24,24,"rgba(0, 0, 0, 0)","rgb(127, 233, 240)"
srv2HeroEm,color,24,24,"rgba(0, 0, 0, 0)","rgb(34, 211, 238)"
srv2HeroEm,color,24,24,"rgba(0, 0, 0, 0)","rgb(94, 234, 212)"
srv2HeadingEm,color,24,24,"rgba(0, 0, 0, 0)","rgb(89, 166, 230)"
srv2HeadingEm,color,24,24,"rgba(0, 0, 0, 0)","rgb(127, 233, 240)"
srv2HeadingEm,color,24,24,"rgba(0, 0, 0, 0)","rgb(34, 211, 238)"
srv2HeadingEm,color,24,24,"rgba(0, 0, 0, 0)","rgb(94, 234, 212)"
lvdEmptyTitle,tag,8,8,"H4","H3"
featuredEm,color,4,4,"rgba(0, 0, 0, 0)","rgb(245, 247, 251)"
articleHeroEm,color,4,4,"rgba(0, 0, 0, 0)","rgb(245, 247, 251)"
articleSectionEm,color,4,4,"rgba(0, 0, 0, 0)","rgb(34, 211, 238)"
articleGridHeading,tag,4,4,"H4","H3"
bookingIntroEm,color,4,4,"rgba(0, 0, 0, 0)","rgb(94, 197, 208)"
bookingStageSpan,color,4,4,"rgba(0, 0, 0, 0)","rgb(94, 197, 208)"
